Price_CLP;Price_UF;Price_USD;Comuna;Ubicacion;Dorms;Baths;Built Area;Total Area;Parking;id;Realtor
1391569000;39100;1732963;LaReina;Salvadorizquierdo/principedegales;7;1;270;1150;;5671769;Grupo AG Propiedades
459111000;12900;571745;Recoleta;AvenidaPerú/Valdivieso;4;3;260;465;;10481544;Mauricio Pino Propiedades
729595000;20500;908587;Colina;PiedraRoja;4;5;255;630;5;11121534;Nexxos
604780870;16993;753152;Ñuñoa;Plazañuñoa;4;3;280;790;1;6240343;Foix Realty 100
551645000;15500;686980;Providencia;BrownNorte/Av.Echeñique;4;3;144;483;;6465752;Sucursal Cantagallo
95000000;2669;118306;PuenteAlto;PasajeParqueRiesco0939;3;1;64;130;1;11124726;Nexxos
597912000;16800;744598;LasCondes;CorreaCortezGonzalo;3;2;128;128;2;9290659;Mujer Inmobiliaria
341664000;9600;425484;PadreHurtado;AltoelRosario/LosCorrales;5;5;360;6610;;11516448;Luz Godoy Propiedades
89000000;2501;110834;Peñaflor;Entrecallelamananaycallelaspalmeras;3;2;98;110;;11515931;Unne
120000000;3372;149440;ElBosque;cercanoagranavenida;3;1;110;260;4;11515823;Unne
129000000;3625;160648;PedroAguirreCerda;PedroAguirreCerda;2;1;174;270;3;11142438;Agente Propiedades
122785500;3450;152908;ElBosque;MinistroBonillaconNavus;3;2;120;200;1;6751697;Unne
1067344100;29990;1329196;Vitacura;LoRecabarren-CaminoAguadelPalo;5;4;405;1002;8;11164229;Nexxos
220000000;6182;273973;Peñalolén;AmericoVespucio-AlonsodeBerriosRotondaGrecia;5;2;108;288;;11135724;Nexxos
150000000;4215;186800;Maipú;Hermosacasamuyamplia;4;4;140;128;2;11100299;Nexxos
96164180;2702;119756;Quilicura;Av.LoCruzatQuilicura;3;1;86;96;2;11137085;Nexxos
130000000;3653;161893;Recoleta;Callerioblanco;3;2;59;220;;11514911;Movahome Corredores Integrados
240588400;6760;299612;Peñalolén;MarTirreno;5;2;120;196;2;11089134;Nexxos
587235000;16500;731301;Colina;PiedraRoja;5;3;179;446;2;11121435;Nexxos
498000000;13993;620174;Pirque;ClubdeGolfElPrincipal;5;3;250;5989;;11166963;Mi Llave
658415000;18500;819944;Colina;Casa/parcela6d5b-condominioprivadopolomahuida-colina;6;5;350;5000;;11155020;Nexxos
1245294100;34990;1550802;Colina;Chicureo;5;4;320;4800;4;11121594;Nexxos
219875020;6178;273817;Quilicura;Altosdequilicura;5;4;149;200;2;11137070;Nexxos
119990000;3371;149427;Melipilla;caminoavalparaiso40580;3;1;85;1665;4;11092192;Unne
818570000;23000;1019390;Colina;Chicureo;4;4;280;5000;12;11137950;Nexxos
259807000;7300;323545;LaFlorida;JoseMiguelCarreraConVicuñaMackennaPoniente;2;1;46;360;8;11101182;Nexxos
1103290000;31000;1373960;LoBarnechea;Golflomasdeladehesa10497;5;5;500;1500;4;11086971;Nexxos
124565000;3500;155125;SanJoaquín;Sannicolasyc61966/uretacox;4;2;109;146;;10793727;Propiedades Centro Santiago SPA
459111000;12900;571745;LasCondes;Bocaccio-Chesterton;3;2;120;335;5;11163653;Nexxos
379994430;10677;473218;Macul;AvenidaMacul;4;1;161;393;7;11100838;Nexxos
205000000;5760;255293;PuenteAlto;LaMontura&LaHacienda;3;2;94;285;2;11513529;Easyprop
960930000;27000;1196675;Pirque;Espectacularcasaenexclusivosectordepirque;7;5;329;10732;;10215586;Movahome Corredores Integrados
45000000;1264;56040;PuenteAlto;Chepu;3;2;;60;1;7020719;Legales y Propiedades SpA
109368070;3073;136199;Maipú;Maipú;3;1;60;125;1;8873306;Agente Propiedades
195745000;5500;243767;PedroAguirreCerda;TeresaVial/AngelGuarello;5;2;140;250;;9291823;Propiedades Centro Santiago SPA
353408700;9930;440110;Colina;BarrioLaguna;3;3;120;480;6;11080064;Nexxos
113888000;3200;141828;PuenteAlto;Oportunidadventa!!acojedoracasadentrodecondominiosanjuandepircasapasosapasosdeavcamilohenriquez;3;2;60;100;1;11118866;Nexxos
665533000;18700;828808;LasCondes;LosLomajes-SanCarlosdeApoquindo;5;4;163;442;3;11087211;Nexxos
145919000;4100;181717;SanBernardo;Lomasdemirasur;3;2;74;128;2;11512779;Propital
108000000;3035;134496;Maipú;puntadecobre157;3;1;50;140;2;11124956;Nexxos
369602150;10385;460277;Peñalolén;ElSolar8037;5;3;163;350;4;11121326;Unne
70000000;1967;87173;ElBosque;Madridag/imperial;3;2;113;100;1;6116973;Propiedades Centro Santiago SPA
79900000;2245;99502;SanBernardo;Casacalleurmeneta;2;1;70;90;1;10214917;Movahome Corredores Integrados
327428000;9200;407756;Huechuraba;Casaenventaenhuechuraba;4;3;150;237;2;11128860;Nexxos
1423600000;40000;1772852;LasCondes;MarianoSanchezFontecillaMetroCristobalColon;8;4;680;300;13;11101612;Nexxos
455552000;12800;567313;LasCondes;#�NOMBRE?;3;2;120;278;2;11071001;Nexxos
125000000;3512;155666;LoEspejo;AvLoOvalleYC60352/Buenaventura;12;5;170;170;1;8815588;Propiedades Centro Santiago SPA
75450800;2120;93961;Lampa;Larapinta;3;1;51;110;3;11110441;Nexxos
100000000;2810;124533;SanBernardo;albatros;4;2;;;1;11088537;Nexxos
1245650000;35000;1551245;LasCondes;BarrioLosFrailes/CaminoSanFranciscodeAsís/Cantagallo;5;4;342;1697;5;7351041;Sucursal Cantagallo
145919000;4100;181717;LaFlorida;Sevendepropiedadesquinadiamante530m2.Doscasasla...;1;1;530;530;;10217436;Scn Propiedades Ltda
110000000;3091;136986;Peñaflor;Sigloxxi//vicuñamakenna;3;1;85;90;;11068898;Unne
129999990;3653;161893;SanJoaquín;AvDepartamentalconFranciscodeCastañeda;6;2;160;200;3;10761517;Unne
236673500;6650;294737;Huechuraba;Casaenventaenhuechurabadentrodecondominio;4;3;114;144;2;11128887;Nexxos
665533000;18700;828808;Ñuñoa;ManuelCovarrubias;5;4;210;525;4;11091899;Nexxos
72247700;2030;89972;LaFlorida;JoseMiguelCarreraLaflorida;3;1;66;73;1;11137148;Nexxos
200000000;5620;249066;LaFlorida;LíaAguirreconFresia;4;1;120;351;4;11100268;Nexxos
711444100;19990;885983;Colina;Chicureo;5;4;404;5595;4;11121690;Nexxos
117624950;3305;146482;EstaciónCentral;TehuacoentreOfquiyCoyhaique;5;2;134;240;3;11167375;Nexxos
252689000;7100;314681;Maipú;Maipú;3;3;123;210;3;11066816;Iroga Propiedades
939576000;26400;1170082;LasCondes;LasTórtolas-QuebradaHonda;7;5;256;1007;2;11152464;Sucursal Cantagallo
189000000;5310;235367;PuenteAlto;SanchezFontecillaLasParcelas;3;2;140;220;2;11100813;Nexxos
80000000;2248;99626;CerroNavia;Langobanguelo/chilonga;2;1;55;162;2;7015928;Propiedades Centro Santiago SPA
